used, name, tilenum
1, SECTOREFFECTOR__STATIC, 1
1, ACTIVATOR__STATIC, 2
1, TOUCHPLATE__STATIC, 3
1, ACTIVATORLOCKED__STATIC, 4
1, MUSICANDSFX__STATIC, 5
1, LOCATORS__STATIC, 6
1, CYCLER__STATIC, 7
1, MASTERSWITCH__STATIC, 8
1, RESPAWN__STATIC, 9
1, GPSPEED__STATIC, 10
1, FOF__STATIC, 13
0, ARROW__STATIC, 20
1, FIRSTGUNSPRITE__STATIC, 21
1, CHAINGUNSPRITE__STATIC, 22
1, RPGSPRITE__STATIC, 23
1, FREEZESPRITE__STATIC, 24
1, SHRINKERSPRITE__STATIC, 25
1, HEAVYHBOMB__STATIC, 26
1, TRIPBOMBSPRITE__STATIC, 27
1, SHOTGUNSPRITE__STATIC, 28
1, DEVISTATORSPRITE__STATIC, 29
0, HEALTHBOX__STATIC, 30
0, AMMOBOX__STATIC, 31
1, GROWSPRITEICON__STATIC, 32
0, INVENTORYBOX__STATIC, 33
1, FREEZEAMMO__STATIC, 37
1, AMMO__STATIC, 40
1, BATTERYAMMO__STATIC, 41
1, DEVISTATORAMMO__STATIC, 42
1, RPGAMMO__STATIC, 44
1, GROWAMMO__STATIC, 45
1, CRYSTALAMMO__STATIC, 46
1, HBOMBAMMO__STATIC, 47
1, AMMOLOTS__STATIC, 48
1, SHOTGUNAMMO__STATIC, 49
1, COLA__STATIC, 51
1, SIXPAK__STATIC, 52
1, FIRSTAID__STATIC, 53
1, SHIELD__STATIC, 54
1, STEROIDS__STATIC, 55
1, AIRTANK__STATIC, 56
1, JETPACK__STATIC, 57
1, HEATSENSOR__STATIC, 59
1, ACCESSCARD__STATIC, 60
1, BOOTS__STATIC, 61
0, MIRRORBROKE__STATIC, 70
0, CLOUDYOCEAN__STATIC, 78
0, CLOUDYSKIES__STATIC, 79
0, MOONSKY1__STATIC, 80
0, BIGORBIT1__STATIC, 84
0, LA__STATIC, 89
1, ATOMICHEALTH__STATIC, 100
1, TECHLIGHT2__STATIC, 120
0, TECHLIGHTBUST2__STATIC, 121
1, TECHLIGHT4__STATIC, 122
0, TECHLIGHTBUST4__STATIC, 123
1, WALLLIGHT4__STATIC, 124
0, WALLLIGHTBUST4__STATIC, 125
1, ACCESSSWITCH__STATIC, 130
1, SLOTDOOR__STATIC, 132
1, LIGHTSWITCH__STATIC, 134
1, SPACEDOORSWITCH__STATIC, 136
1, SPACELIGHTSWITCH__STATIC, 138
1, FRANKENSTINESWITCH__STATIC, 140
1, NUKEBUTTON__STATIC, 142
1, MULTISWITCH__STATIC, 146
1, DOORTILE5__STATIC, 150
1, DOORTILE6__STATIC, 151
1, DOORTILE1__STATIC, 152
1, DOORTILE2__STATIC, 153
1, DOORTILE3__STATIC, 154
1, DOORTILE4__STATIC, 155
1, DOORTILE7__STATIC, 156
1, DOORTILE8__STATIC, 157
1, DOORTILE9__STATIC, 158
1, DOORTILE10__STATIC, 159
1, DOORSHOCK__STATIC, 160
1, DIPSWITCH__STATIC, 162
1, DIPSWITCH2__STATIC, 164
1, TECHSWITCH__STATIC, 166
1, DIPSWITCH3__STATIC, 168
1, ACCESSSWITCH2__STATIC, 170
1, FLOORSLIME__STATIC, 200
1, BIGFORCE__STATIC, 230
1, MASKWALL9__STATIC, 255
1, SCREENBREAK1__STATIC, 263
1, SCREENBREAK2__STATIC, 264
1, SCREENBREAK3__STATIC, 265
1, SCREENBREAK4__STATIC, 266
1, SCREENBREAK5__STATIC, 267
1, SCREENBREAK6__STATIC, 268
1, SCREENBREAK7__STATIC, 269
1, SCREENBREAK8__STATIC, 270
1, SCREENBREAK9__STATIC, 271
1, SCREENBREAK10__STATIC, 272
1, SCREENBREAK11__STATIC, 273
1, SCREENBREAK12__STATIC, 274
1, SCREENBREAK13__STATIC, 275
1, MASKWALL1__STATIC, 285
1, W_TECHWALL1__STATIC, 293
1, W_TECHWALL2__STATIC, 297
1, W_TECHWALL15__STATIC, 299
1, W_TECHWALL3__STATIC, 301
1, W_TECHWALL4__STATIC, 305
1, W_TECHWALL10__STATIC, 306
1, W_TECHWALL16__STATIC, 307
0, WATERTILE2__STATIC, 336
0, BPANNEL1__STATIC, 341
1, PANNEL1__STATIC, 342
1, PANNEL2__STATIC, 343
0, STATIC__STATIC, 351
0, W_SCREENBREAK__STATIC, 357
0, W_HITTECHWALL3__STATIC, 360
0, W_HITTECHWALL4__STATIC, 361
0, W_HITTECHWALL2__STATIC, 362
0, W_HITTECHWALL1__STATIC, 363
1, MASKWALL10__STATIC, 387
1, MASKWALL11__STATIC, 391
1, DOORTILE22__STATIC, 395
1, FANSPRITE__STATIC, 407
0, FANSPRITEBROKE__STATIC, 411
1, FANSHADOW__STATIC, 412
0, FANSHADOWBROKE__STATIC, 416
1, DOORTILE18__STATIC, 447
1, DOORTILE19__STATIC, 448
1, DOORTILE20__STATIC, 449
1, VIEWSCREEN2__STATIC, 499
1, VIEWSCREEN__STATIC, 502
1, GLASS__STATIC, 503
0, GLASS2__STATIC, 504
1, STAINGLASS1__STATIC, 510
1, MASKWALL5__STATIC, 514
1, SATELITE__STATIC, 516
1, FUELPOD__STATIC, 517
1, CRACK1__STATIC, 546
1, CRACK2__STATIC, 547
1, CRACK3__STATIC, 548
1, CRACK4__STATIC, 549
1, FOOTPRINTS__STATIC, 550
1, DOMELITE__STATIC, 551
1, CAMERAPOLE__STATIC, 554
1, CHAIR1__STATIC, 556
1, CHAIR2__STATIC, 557
0, BROKENCHAIR__STATIC, 559
0, MIRROR__STATIC, 560
1, WATERFOUNTAIN__STATIC, 563
1, WATERFOUNTAINBROKE__STATIC, 567
1, FEMMAG1__STATIC, 568
1, TOILET__STATIC, 569
1, STALL__STATIC, 571
0, STALLBROKE__STATIC, 573
1, FEMMAG2__STATIC, 577
1, REACTOR2__STATIC, 578
1, REACTOR2BURNT__STATIC, 579
1, REACTOR2SPARK__STATIC, 580
1, GRATE1__STATIC, 595
0, BGRATE1__STATIC, 596
1, SOLARPANNEL__STATIC, 602
1, NAKED1__STATIC, 603
1, ANTENNA__STATIC, 607
1, MASKWALL12__STATIC, 609
